167,9,102.84,24.07,38.2925,1489.3441,dead,dead,dead
168,8,76.87,22.33,30.6908,1433.9071,dead,dead,dead
169,33,478.33,32.87,36.8913,1571.2145,dead,dead,dead
170,11,179.79,32.34,35.9788,1520.1549,dead,dead,dead
171,13,209.49,27.31,27.4632,1524.4782,dead,dead,dead
172,13,176.64,26.16,27.8528,1555.6981,dead,dead,dead
173,27,370.34,32.34,27.0174,1591.1437,dead,dead,dead
174,11,149.21,26.02,45.7864,1531.6624,dead,dead,dead
175,9,177.94,83.04,42.5668,1513.9996,miss,success,miss
176,14,270.6,82.82,29.3034,1483.7407,miss,success,miss
177,19,310.86,30,32.7052,1565.015,dead,dead,dead
178,29,357.74,33.27,37.1137,1619.8918,collision,dsensor_close,dsensor_close
179,11,140.76,26.55,35.0767,1530.0277,dead,dead,dead
180,23,524.23,85.08,34.9899,1506.5258,miss,success,miss
181,19,244.15,29.33,35.1882,1644.5368,dead,dead,dead
182,9,43.05,16.33,32.5832,1635.1069,dead,dead,dead
183,16,406.34,95.41,30.1561,1663.7253,dead,dead,dead
184,10,113.9,27.79,33.0498,1657.2823,dead,dead,dead
